"term","coef","is_year"
"lol",0.316346802744441,FALSE
"dude",0.21374769830498,FALSE
"sorry",0.213135700222161,FALSE
"please",0.185289926884523,FALSE
"read",0.165434032657009,FALSE
"literally",0.156041045602341,FALSE
"irrelevant",0.146480581726582,FALSE
"comment",0.14388025886116,FALSE
"arguments",0.130476943142678,FALSE
"bullshit",0.129689004899351,FALSE
"thread",0.12941650905629,FALSE
"shit",0.101628579559603,FALSE
"discussion",0.100309891323091,FALSE
"said",0.0937896059212477,FALSE
"stated",0.0854852243200701,FALSE
"conversation",0.071854105263789,FALSE
"talking",0.0691666552854076,FALSE
"admit",0.0661965566311638,FALSE
"yeah",0.0658692616061134,FALSE
"provide",0.0653840245460971,FALSE
"answer",0.0583260534310925,FALSE
"claim",0.0533506270792501,FALSE
"words",0.0511437450896308,FALSE
"evidence",0.043475783521309,FALSE
"respond",0.0422219649244061,FALSE
"yes",0.0413759974341742,FALSE
"fucking",0.0396961112241132,FALSE
"argument",0.0378165911128567,FALSE
"fact",0.0319381529570745,FALSE
"know",0.0273056678437464,FALSE
"cmv",0.0263401403200721,FALSE
"comments",0.0192675584401728,FALSE
"clearly",0.0173232313828002,FALSE
"source",0.0156494513728019,FALSE
"asked",0.0151352255461024,FALSE
"science",0.0149935573659035,FALSE
"logic",0.0134828560528686,FALSE
"research",0.0128165493211426,FALSE
"trying",0.00792726412667979,FALSE
"post",0.00386178712115407,FALSE
"ridiculous",0.00289625557825685,FALSE
