"term","coef","is_year"
"lol",0.319151356311788,FALSE
"sorry",0.216891549804646,FALSE
"please",0.190599958489055,FALSE
"read",0.168073043167563,FALSE
"literally",0.160275126871635,FALSE
"comment",0.151110398218799,FALSE
"irrelevant",0.146733041067489,FALSE
"arguments",0.137904964252322,FALSE
"shit",0.109124987509055,FALSE
"discussion",0.105358006791259,FALSE
"said",0.0984985656847293,FALSE
"conversation",0.073432984589502,FALSE
"talking",0.0725295232554945,FALSE
"yeah",0.0723093832703877,FALSE
"provide",0.0678509225359889,FALSE
"answer",0.0602159835189369,FALSE
"claim",0.055443654981187,FALSE
"words",0.0529328864778198,FALSE
"fucking",0.0475975533016164,FALSE
"evidence",0.0459511338451399,FALSE
"yes",0.0415649961534932,FALSE
"argument",0.0393975926066754,FALSE
"fact",0.0347765058515338,FALSE
"know",0.0295223513503377,FALSE
"asked",0.020481577771012,FALSE
"clearly",0.0196197210311969,FALSE
"source",0.0157500590489223,FALSE
"science",0.0155380745007704,FALSE
"logic",0.0147502324901804,FALSE
"research",0.0146021769091568,FALSE
"trying",0.00972134222239744,FALSE
"post",0.00763941281729611,FALSE
"calling",0.00395118500193919,FALSE
